seed,regime,output,fixed_var,fixed_value,repeat,method,n_train,n_test,rmse,mae,r2
42,noise_free,Output1,X1,1.6666666666666665,24,rbf,9,3,0.017984653930379835,0.017449182625727772,0.9992429964542218
42,noise_free,Output1,X1,1.6666666666666665,25,rbf,9,3,0.037451385219647866,0.0325641113564504,0.9983412337119292
42,noise_free,Output1,X1,1.6666666666666665,26,cubic,9,3,0.01615677270045959,0.009644540360267406,0.9993648026534458
42,noise_free,Output1,X1,1.6666666666666665,26,rbf,9,3,0.011738938979137466,0.0105848581957703,0.999664681793192
42,noise_free,Output1,X1,1.6666666666666665,27,rbf,9,3,0.039508278219538326,0.03116823057089742,0.9966704266982679
42,noise_free,Output1,X1,1.6666666666666665,28,rbf,9,3,0.019546639615840637,0.01837270014266723,0.9988700102705672
42,noise_free,Output1,X1,1.6666666666666665,29,rbf,9,3,0.02573640851955327,0.024947472865828473,0.9942911000828711
42,noise_free,Output1,X1,1.6666666666666665,30,cubic,9,3,0.015897629447705373,0.010483425923054105,0.9952940820072302
42,noise_free,Output1,X1,1.6666666666666665,30,rbf,9,3,0.025530523130960554,0.023834995628546036,0.9878633440045849
42,noise_free,Output1,X1,1.6666666666666665,31,rbf,9,3,0.05893765039879042,0.05795793423490828,0.9972334510524152
42,noise_free,Output1,X1,1.6666666666666665,32,rbf,9,3,0.04497383346940711,0.03989743714448787,0.9978085762855969
42,noise_free,Output1,X1,1.6666666666666665,33,rbf,9,3,0.13767658000700894,0.11939070988384796,0.8903327074802475
42,noise_free,Output1,X1,1.6666666666666665,34,rbf,9,3,0.03229352615943813,0.02707237434248677,0.9986923535985701
42,noise_free,Output1,X1,1.6666666666666665,35,rbf,9,3,0.09254533641962615,0.07311416089383564,0.9834704390181681
42,noise_free,Output1,X1,1.6666666666666665,36,rbf,9,3,0.04456453768209976,0.03243982369722135,0.9903219602506823
42,noise_free,Output1,X1,1.6666666666666665,37,rbf,9,3,0.015289395563536128,0.014188831179071215,0.9986458549462403
42,noise_free,Output1,X1,1.6666666666666665,38,rbf,9,3,0.018452422989894107,0.014024331897285988,0.9955411955118657
42,noise_free,Output1,X1,1.6666666666666665,39,rbf,9,3,0.03477967809216082,0.03093072397761132,0.9987749950445266
42,noise_free,Output1,X1,2.0,0,rbf,9,3,0.04566559932632822,0.03814225897228033,0.989669025503714
42,noise_free,Output1,X1,2.0,1,rbf,9,3,0.017790582559289038,0.013561279773691185,0.9837372224089178
42,noise_free,Output1,X1,2.0,2,rbf,9,3,0.03137769465306762,0.02412947851830764,0.9989217613122259
42,noise_free,Output1,X1,2.0,3,rbf,9,3,0.03649278877289463,0.025052786503940716,0.997845318601064
42,noise_free,Output1,X1,2.0,4,rbf,9,3,0.04549761044148694,0.03393207709277135,0.9970040268430411
42,noise_free,Output1,X1,2.0,5,rbf,9,3,0.04497383346940796,0.039897437144489345,0.9978085762855968
42,noise_free,Output1,X1,2.0,6,cubic,9,3,0.00018725557046044117,0.00016447699818152492,0.9999999541620831
42,noise_free,Output1,X1,2.0,6,rbf,9,3,0.020566170761979558,0.01953446172426491,0.9994470800545896
