seed,regime,output,method,runs,rmse_mean,rmse_p95,r2_mean,negative_r2_rate
72,noise_free,Output1,rbf,440,0.06292447820278417,0.17815359240251477,0.9864181182936272,0.0
72,noise_free,Output2,cubic,114,0.17587725461692597,0.45155266398953947,0.6405358826650474,0.043859649122807015
72,noise_free,Output2,rbf,440,0.13698791179342476,0.45416182187291004,0.8391530512424079,0.013636363636363636
72,noise_free,Output3,cubic,127,0.0074367151238431415,0.01140336631549371,0.9997303627906525,0.0
72,noise_free,Output3,rbf,440,0.05128842213585106,0.16829137511865822,0.9840401244851065,0.0
72,noisy,Output1,cubic,127,0.09966041353769885,0.19129908533063741,0.9720212020347786,0.0
72,noisy,Output1,rbf,440,0.15600544297065702,0.3035509146567245,0.9079638623906264,0.013636363636363636
72,noisy,Output2,cubic,127,0.8458103275797574,1.691795335457966,0.10456125006078563,0.2283464566929134
72,noisy,Output2,rbf,440,1.6657791337105017,3.4188479284828768,-6.007167199689093,0.3090909090909091
72,noisy,Output3,cubic,119,1.7412652664009116,3.034585714743225,-11.363311857647208,0.8823529411764706
72,noisy,Output3,rbf,440,3.612943827341115,7.053903996351903,-63.427157501660815,0.9681818181818181
82,noise_free,Output1,cubic,118,0.03780689261557388,0.16265369027748044,0.9925036592673894,0.0
82,noise_free,Output1,rbf,440,0.05879614893530825,0.1673836350220425,0.9816780819660049,0.004545454545454545
82,noise_free,Output2,cubic,114,0.16321788267903187,0.6621124885974343,0.5654125214480218,0.06140350877192982
82,noise_free,Output2,rbf,440,0.13896548531479624,0.4485995126739825,0.8600997593361671,0.013636363636363636
82,noise_free,Output3,cubic,108,0.0073075696818923975,0.012176184581775414,0.9996591597374445,0.0
82,noise_free,Output3,rbf,440,0.06577215062987457,0.17409627188241822,0.9797769033421538,0.0
82,noisy,Output1,cubic,111,0.10204761905343565,0.19696993138658653,0.9687564748488825,0.0
82,noisy,Output1,rbf,440,0.1997241780824824,0.39478262983999685,0.8498235785422273,0.029545454545454545
82,noisy,Output2,cubic,120,0.801400637939349,1.4872239866517447,-0.2681791341705645,0.23333333333333334
82,noisy,Output2,rbf,440,1.8985905579989533,3.739440603860442,-5.831814232492093,0.3386363636363636
82,noisy,Output3,cubic,106,1.7822983992431434,3.2435295028946936,-8.915310476054263,0.8490566037735849
82,noisy,Output3,rbf,440,3.744368836964284,7.848361692528334,-57.200619108082066,0.9590909090909091
